rapportdatum;vestiging;periodevenster;metric;waarde;opmerking
2026-07-13;Achterveld;Gisteren;membershipsSold;0;
2026-07-13;Achterveld;Maand;membershipsSold;6;
2026-07-13;Achterveld;Gisteren;activeMembers;415;
2026-07-13;Achterveld;Maand;activeMembers;415;
2026-07-13;Achterveld;Gisteren;visitFrequency;0;
2026-07-13;Achterveld;Maand;visitFrequency;0,39;
2026-07-13;Achterveld;Gisteren;closingRate;0%;
2026-07-13;Achterveld;Maand;closingRate;37,5%;
2026-07-13;Achterveld;Gisteren;leadResponseSeconds;00:00:00;
2026-07-13;Achterveld;Maand;leadResponseSeconds;00:04:26;
